"Entity No.",Review,Episode title,S,P1,O1,P2,O2,P3,O3
,Complete,HEADER INFO,Radiolab Presents: G,http://dbpedia.org/ontology/Project,https://www.wikidata.org/entity/Q70746611,http://purl.org/dc/elements/1.1/creator,https://www.wikidata.org/entity/Q70746611,,
,Complete,HEADER INFO,Radiolab,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/wiki/Q2856080,,,,
1,Complete,Miseducation of Larry P,Brandon Gamble,http://xmlns.com/foaf/0.1/Organization,https://orcid.org/0000-0002-7451-6304,http://purl.org/vocab/relationship/employedBy,https://www2.oakwood.edu/,http://rdvocab.info/roles/interviewee,
2,*URI question,Miseducation of Larry P,793 F. 2d 969 - Larry Lucille P v. Riles P,http://purl.org/ontology/bibo/LegalDecision,https://openjurist.org/793/f2d/969/larry-lucille-p-v-riles-p,,,,
3,Complete,Miseducation of Larry P,IQ test,http://courseware.rkbexplorer.com/ontologies/courseware#Assessment-Method,https://www.wikidata.org/entity/Q1051792,,,,
4,*URI question,Miseducation of Larry P,Lee Romney,http://xmlns.com/foaf/0.1/Person,https://www.kalw.org/people/lee-romney,,,,
5,*URI question,Miseducation of Larry P,Gerald West,http://xmlns.com/foaf/0.1/Person,https://postnewsgroup.com/category/stockton/,http://schema.org/member,https://www.wikidata.org/entity/Q4809651,,
6,Complete,Miseducation of Larry P,Association of Black Psycologists,http://xmlns.com/foaf/0.1/Organization,https://www.wikidata.org/entity/Q4809651,,,,
7,*Needs review,Miseducation of Larry P,,,,,,,
8,Complete,Miseducation of Larry P,Siddhartha Mukherjee,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0001-8251-7334,http://dbpedia.org/ontology/occupation,https://www.wikidata.org/wiki/Q16062369,http://rdvocab.info/roles/interviewee,https://www.wikidata.org/entity/Q70746611
9,Complete,Miseducation of Larry P,David Robson,http://xmlns.com/foaf/0.1/Person,https://davidrobson.me/,http://purl.org/vocab/relationship/employedBy,https://www.wikidata.org/entity/Q17016778,,
10,Complete,Miseducation of Larry P,Universal access to education,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q7894104,,,,
11,*Add triple,Miseducation of Larry P,Alfred Binet,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q207478,,,,
12,*Add triple,Miseducation of Larry P,Théodore Simon ,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q969139,,,,
13,*Add triple,Miseducation of Larry P,Mental age,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q378697,,,,
14,*Add triple,Miseducation of Larry P,intelligence quotient,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/wiki/Q170277,,,,
15,*Add triple,Miseducation of Larry P,Charles Spearman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q356611,,,,
16,*Add triple,Miseducation of Larry P,The theory of intelligence and its measurement,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q55878361,,,,
17,*Needs review,Miseducation of Larry P,,,,,,,
18,*Add triple,Miseducation of Larry P,general intelligence factor,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q1753797,,,,
19,*Needs review,Miseducation of Larry P,,,,,,,
20,Complete,Miseducation of Larry P,Harold Dent,http://xmlns.com/foaf/0.1/Person,http://id.loc.gov/rwo/agents/n50001703,http://schema.org/member,https://www.wikidata.org/entity/Q4809651,,
21,*Needs review,Miseducation of Larry P,,,,,,,
22,*Needs review,Miseducation of Larry P,,,,,,,
23,Complete,Miseducation of Larry P,Asa Hillard,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q4803124,http://schema.org/member,https://www.wikidata.org/entity/Q4809651,,
24,*Type question,Miseducation of Larry P,Wechsler Intelligence Scale for Children,,https://www.wikidata.org/entity/Q1572850,,,,
25,*URI question,Miseducation of Larry P,Craig L. Frisby,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0002-4387-3640,,,,
26,*Needs review,Miseducation of Larry P,,,,,,,
27,*Add triple,Miseducation of Larry P,Wilson Riles,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q8023186,,,,
28,,Problem Space,,,,,,,
29,,Problem Space,,,,,,,
30,,Problem Space,,,,,,,
31,,Problem Space,,,,,,,
32,,Problem Space,,,,,,,
33,,Problem Space,,,,,,,
34,,Problem Space,,,,,,,
35,,Problem Space,,,,,,,
36,,Problem Space,,,,,,,
37,,Problem Space,,,,,,,
38,,Problem Space,,,,,,,
39,,Problem Space,,,,,,,
40,,Problem Space,,,,,,,
41,,Problem Space,,,,,,,
42,,Problem Space,,,,,,,
43,,Problem Space,,,,,,,
44,,Problem Space,,,,,,,
45,,Problem Space,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
