Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,ID,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Notes
,,Complete,,HEADER INFO,,Radiolab Presents: G,http://dbpedia.org/ontology/Project,https://www.wikidata.org/entity/Q70746611,http://purl.org/dc/elements/1.1/creator,Creator,https://www.wikidata.org/wiki/Q2856080,Radiolab,,,,,
,,Complete,,HEADER INFO,,Radiolab,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/wiki/Q2856080,,,,,,,,,
1,5,Complete,https://www.wikidata.org/entity/Q70746611,Miseducation of Larry P,Brandon Gambel,Brandon Gamble,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0002-7451-6304,http://purl.org/vocab/relationship/employedBy,Employeed by,https://www2.oakwood.edu/,Oakwood university,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,http://www.drbrandongamble.com/bio.html
2,6,*URI question,https://www.wikidata.org/entity/Q70746612,Miseducation of Larry P,Larry P. case,793 F. 2d 969 - Larry Lucille P v. Riles P,http://purl.org/ontology/bibo/LegalDecision,https://openjurist.org/793/f2d/969/larry-lucille-p-v-riles-p,,,,,,,,,https://openjurist.org/793/f2d/969/larry-lucille-p-v-riles-p
3,6,Complete,https://www.wikidata.org/entity/Q70746613,Miseducation of Larry P,IQ test,IQ test,http://courseware.rkbexplorer.com/ontologies/courseware#Assessment-Method,https://www.wikidata.org/entity/Q1051792,,,,,,,,,
4,7,*URI question,https://www.wikidata.org/entity/Q70746614,Miseducation of Larry P,Lee Romney,Lee Romney,http://xmlns.com/foaf/0.1/Person,https://www.kalw.org/people/lee-romney,,,,,,,,,
5,,*URI question,https://www.wikidata.org/entity/Q70746615,Miseducation of Larry P,Gerald West,Gerald West,http://xmlns.com/foaf/0.1/Person,https://postnewsgroup.com/category/stockton/,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,,,,,
6,,Complete,https://www.wikidata.org/entity/Q70746616,Miseducation of Larry P,Association of Black Psycologists,Association of Black Psycologists,http://xmlns.com/foaf/0.1/Organization,https://www.wikidata.org/entity/Q4809651,,,,,,,,,
7,8,*Needs review,https://www.wikidata.org/entity/Q70746617,Miseducation of Larry P,Darryl Lester,,,,,,,,,,,,
8,14,Complete,https://www.wikidata.org/entity/Q70746618,Miseducation of Larry P,Siddhartha Mukherjee,Siddhartha Mukherjee,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0001-8251-7334,http://dbpedia.org/ontology/occupation,Occupation,https://www.wikidata.org/wiki/Q16062369,Oncologist,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,
9,14,Complete,https://www.wikidata.org/entity/Q70746619,Miseducation of Larry P,David Robson,David Robson,http://xmlns.com/foaf/0.1/Person,https://davidrobson.me/,http://purl.org/vocab/relationship/employedBy,Employeed by,https://www.wikidata.org/entity/Q17016778,BBC Future Media,,,,,https://davidrobson.me/
