Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,URI,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Predicate4,Predicate4Name,Object4,Object4Name,Object5,Object5Name,Notes,
,,Complete,,,,Radiolab Presents: G,http://dbpedia.org/ontology/Project,https://www.wikidata.org/entity/Q70746611,http://purl.org/dc/elements/1.1/creator,Creator,https://www.wikidata.org/entity/Q2856080,Radiolab,,,,,,,,,,,,1
,,Complete,,,,Radiolab,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/entity/Q2856080,,,,,,,,,,,,,,,,
,,Complete,,,,Miseducation of Larry P,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/entity/Q77320710,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,,,,,
,,Complete,,,,Problem Space,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/entity/Q77321340,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,,,,,
,,Complete,,,,Relative Genius,http://dbpedia.org/ontology/RadioProgram,https://www.wikidata.org/entity/Q77327209,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,,,,,
1,5,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Brandon Gambel,Brandon Gamble,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0002-7451-6304,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,,,,http://www.drbrandongamble.com/bio.html,
2,6,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Larry P. case,793 F. 2d 969 - Larry Lucille P v. Riles P,http://purl.org/ontology/bibo/LegalDecision,https://www.wikidata.org/entity/Q78761820,,,,,,,,,,,,,,,https://openjurist.org/793/f2d/969/larry-lucille-p-v-riles-p,
3,6,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,IQ test,IQ test,http://www.telegraphis.net/ontology/measurement/measurement#Measurement,https://www.wikidata.org/entity/Q1051792,https://w3id.org/saref#measuresProperty,measures,https://www.wikidata.org/entity/Q378697,IQ,,,,,,,,,,,,
4,7,*URI question,https://www.wikidata.org/entity/Q77320708,Miseducation of Larry P,Lee Romney,,,,http://schema.org/url,url,https://www.kalw.org/people/lee-romney,Lee Romney,http://schema.org/contributor,Contributer,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,
5,12,*URI question,https://www.wikidata.org/entity/Q77320709,Miseducation of Larry P,Gerald West,,,,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,http://schema.org/url,url,https://postnewsgroup.com/category/stockton/,Gerald West,,,,,,,,
6,12,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Association of Black Psycologists,Association of Black Psycologists,http://xmlns.com/foaf/0.1/Organization,https://www.wikidata.org/entity/Q4809651,,,,,,,,,,,,,,,,
7,13,*URI question,https://www.wikidata.org/entity/Q77320711,Miseducation of Larry P,Darryl Lester,,,,,,,,,,,,,,,,,,,
8,14,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Siddhartha Mukherjee,Siddhartha Mukherjee,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q983450,http://dbpedia.org/ontology/occupation,Occupation,https://www.wikidata.org/wiki/Q16062369,Oncologist,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,
9,14,*URI question,https://www.wikidata.org/entity/Q77320713,Miseducation of Larry P,David Robson,,,"
",http://purl.org/vocab/relationship/employedBy,Employeed by,https://www.wikidata.org/entity/Q17016778,BBC Future Media,http://schema.org/url,url,https://davidrobson.me/,David Robson,http://schema.org/contributor,Contributer,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,https://davidrobson.me/,
10,14,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Alferd Binet,Alfred Binet,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q207478,http://purl.org/vocab/relationship/employedBy,Employeed by,https://www.wikidata.org/entity/Q209842,"University of Paris (1896-1968)
",http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q212980,psychologist,,,,,,,,
11,15,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Theodore Simone,Théodore Simon ,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q969139,http://vocab.getty.edu/ontology#ulan1307_assistant_of,Assistant of,https://www.wikidata.org/entity/Q207478,Alfred Binet,,,,,,,,,,,,
12,15,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Mental age,Mental age,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q378697,http://vocab.getty.edu/ontology#aat2325_created_by,Created by,https://www.wikidata.org/entity/Q207478,Alfred Binet,http://vocab.getty.edu/ontology#aat2325_created_by,created by,https://www.wikidata.org/entity/Q969139,Théodore Simon ,,,,,,,,
13,16,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,IQ,intelligence quotient,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/wiki/Q170277,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q378697,Mental age,http://vocab.getty.edu/ontology#aat2325_created_by,Created by,https://www.wikidata.org/entity/Q207478,Alfred Binet,http://vocab.getty.edu/ontology#aat2325_created_by,created by,https://www.wikidata.org/entity/Q969139,Théodore Simon ,,,,
14,16,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Charles Spearman,Charles Spearman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q356611,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q212980,psychologist,http://dbpedia.org/ontology/ideology,ideology,https://www.wikidata.org/entity/Q170480,,,,,,,,,
15,17,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Theory of intelligence,The theory of intelligence and its measurement,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q55878361,http://vocab.getty.edu/ontology#aat2325_created_by,Created by,https://www.wikidata.org/entity/Q356611,Charles Spearman,,,,,,,,,,,,
16,17,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Stuart Richie,Stuart Richie,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q64010764,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,http://purl.org/vocab/relationship/employedBy,employeed by,https://www.wikidata.org/entity/Q245247,King's College London,http://purl.org/dc/elements/1.1/creator,creator,https://www.goodreads.com/book/show/25356335-intelligence,Intelligence: All That Matters,,,,
17,18,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,"General intelligence ""G""",general intelligence factor,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q1753797,http://vocab.getty.edu/ontology#aat2325_created_by,Created by,https://www.wikidata.org/entity/Q356611,Charles Spearman,,,,,,,,,,,,
18,19,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,T4,Action T4,https://www.wikidata.org/entity/Q41397,https://www.wikidata.org/entity/Q154494,http://dbpedia.org/ontology/precursor,Precursor,https://www.wikidata.org/entity/Q2763,holocost,http://purl.org/net/opmv/ns#used,used,https://www.wikidata.org/wiki/Q170277,IQ,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q7320,"Nazi Party
",,,,
,,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,The Holocaust,The Holocaust,https://www.wikidata.org/entity/Q41397,https://www.wikidata.org/wiki/Q2763,,,,,,,,,,,,,,,,
19,20,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Harold Dent,Harold Dent,http://xmlns.com/foaf/0.1/Person,http://id.loc.gov/rwo/agents/n50001703,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,,,,,,,,,,,,
20,21,*URI question,https://www.wikidata.org/entity/Q77320725,Miseducation of Larry P,Rob Peckham,,,,,,,,,,,,,,,,,,,
21,21,*URI question,https://www.wikidata.org/entity/Q77320726,Miseducation of Larry P,Armando Menecal,,,,,,,,,,,,,,,,,,,
22,22,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Asa Hillard,Asa Hillard,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q4803124,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,,,,,,,,,,,,
23,22,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,WISC,Wechsler Intelligence Scale for Children,http://www.telegraphis.net/ontology/measurement/measurement#Measurement,https://www.wikidata.org/entity/Q1572850,https://w3id.org/saref#measuresProperty,measures,https://www.wikidata.org/entity/Q378697,IQ,https://privatealpha.com/ontology/ibis/1#opposed-by,opposed by,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q78761820,793 F. 2d 969 - Larry Lucille P v. Riles P,,,,
24,26,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Craig Frisby,Craig L. Frisby,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0002-4387-3640,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q16630756,racial bias,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q78761820,793 F. 2d 969 - Larry Lucille P v. Riles P,,,,,,,https://www.researchgate.net/profile/Craig_Frisby,
25,,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,racial bias,racial bias,https://w3id.org/skgo/modsci#SocialPhenomenon,https://www.wikidata.org/entity/Q16630756,,,,,,,,,,,,,,,,
26,27,*URI question,https://www.wikidata.org/entity/Q77320730,Miseducation of Larry P,Arthur Jensen,,,,,,,,,,,,,,,,,,,
27,28,Complete,https://www.wikidata.org/wiki/Q77320731,Miseducation of Larry P,Wilson Riles,Wilson Riles,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q8023186,http://purl.org/dc/terms/isPartOf,part of,https://www.wikidata.org/entity/Q78761820,793 F. 2d 969 - Larry Lucille P v. Riles P,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q40348,lawyer,,,,,,,,
28,1,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Larry P. case,793 F. 2d 969 - Larry Lucille P v. Riles P,http://purl.org/ontology/bibo/LegalDecision,https://www.wikidata.org/entity/Q78761820,http://purl.org/dc/terms/subject,subject,https://www.wikidata.org/entity/Q16630756,racial bias,,,,,,,,,,,,
29,3,*URI question,https://www.wikidata.org/entity/Q77321331,Problem Space,Dr. Blaine Cowick,,,,,,,,,,,,,,,,,,,
30,5,*URI question,https://www.wikidata.org/entity/Q77321330,Problem Space,James Hiramoto,,,,,,,,"
",,,,,,,,,,,
31,5,*URI question,https://www.wikidata.org/entity/Q77321333,Problem Space,Arthur Point Scale,,,,,,,,,,,,,,,,,,,
32,5,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Cattell Horn infant intelligence scale,Cattell–Horn–Carroll theory,http://www.telegraphis.net/ontology/measurement/measurement#Measurement,https://www.wikidata.org/entity/Q2748395,https://w3id.org/saref#measuresProperty,measures,https://www.wikidata.org/entity/Q378697,IQ,,,,,,,,,,,,
33,5,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Columbia mental Maturity age,Columbia Mental Maturity Scale,http://www.telegraphis.net/ontology/measurement/measurement#Measurement,https://psychology.wikia.org/wiki/Columbia_Mental_Maturity_Scale,https://w3id.org/saref#measuresProperty,measures,https://www.wikidata.org/entity/Q378697,IQ,,,,,,,,,,,,
34,5,*URI question,https://www.wikidata.org/entity/Q77321336,Problem Space,Gasol Developmental Schedule,,"
",,,,,,,,,,,,,,,,,
35,5,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Goodenough hairs drawing test,Draw-A-Person Test,http://www.telegraphis.net/ontology/measurement/measurement#Measurement,"https://www.wikidata.org/entity/Q3296680",https://w3id.org/saref#measuresProperty,measures,https://www.wikidata.org/entity/Q378697,IQ,,,,,,,,,,,,
36,5,*URI question,https://www.wikidata.org/entity/Q77321338,Problem Space,Merrill-Palmer preschool preformance test,,"
",,,,,,,,,,,,,,,,,
37,5,*URI question,https://www.wikidata.org/entity/Q77321339,Problem Space,Raven's Progressive Matrices,,"
",,,,,,,,,,,,,,,,,
38,6,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Alan Kaufman,Alan S. Kaufman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q2623471,http://purl.org/vocab/relationship/employedBy,employed by,https://www.wikidata.org/entity/Q17054846,Pychological Corporation in New York City,http://schema.org/contributor,Contributor,https://www.wikidata.org/entity/Q70746611,Radiolab Presents: G,,,,,,,,
,,Complete,https://www.wikidata.org/entity/Q77321331,Problem Space,Pychological Corporation in New York City,Pychological Corporation in New York City,http://xmlns.com/foaf/0.1/Organization,https://www.wikidata.org/entity/Q17054846,,,,,,,,,,,,,,,,
39,6,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,David Weschler,David Wechsler,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q451248,http://purl.org/dc/elements/1.1/creator,created,https://www.wikidata.org/entity/Q1572850,Wechsler Intelligence Scale for Children,http://vocab.getty.edu/ontology#ulan1331_worked_with,worked with,https://www.wikidata.org/entity/Q2623471,Alan S. Kaufman,,,,,,,,
40,7,*URI question,https://www.wikidata.org/entity/Q77321342,Problem Space,Susie Rayford,,"
",,,revises,,Wechsler Intelligence Scale for Children,,,,,,,,,,,,
41,8,*URI question,https://www.wikidata.org/entity/Q77321344,Problem Space,John Catoe,,,,,,,,,,,,,,,,,,,
42,11,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Siddhartha Mukherjee,Siddhartha Mukherjee,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q983450,http://purl.org/dc/elements/1.1/creator,author,https://www.wikidata.org/entity/Q27536589,The Gene: An Intimate History,,,,,,,,,,,,
43,12,*URI question,https://www.wikidata.org/entity/Q77321347,Problem Space,Stuart Richie,,,,,,,,,,,,,,,,,,,
44,13,*URI question,https://www.wikidata.org/entity/Q77321350,Problem Space,problem space,,,,,,,,,,,,,,,,,,,
45,14,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Herb Needleman,Herbert L. Needleman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q5735148,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,,Lydia Denworth,,,,,,,,,,,,
46,14,*URI question,https://www.wikidata.org/entity/Q77321352,Problem Space,Lydia Denworth,,,,http://purl.org/dc/elements/1.1/creator,creator,https://www.penguinrandomhouse.com/books/205892/toxic-truth-by-lydia-denworth/,Toxic Truth,"
",,,,,,,,,,,
47,15,*URI question,https://www.wikidata.org/entity/Q77321353,Problem Space,Morry Regun,,,,http://purl.org/vocab/relationship/employedBy,employeed by,,NPR,,,,,,,,,,,,
48,15,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,acute lead poisoning,lead poisoning,http://dbpedia.org/ontology/Disease,https://www.wikidata.org/entity/Q110315,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q5735148,Herbert L. Needleman,,,,,,,,,,,,
49,18,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,published that in the New England Journal of Medicine in 1979,Deficits in Psychologic and Classroom Performance of Children with Elevated Dentine Lead Levels,http://schema.org/ScholarlyArticle,https://doi.org/10.1056/NEJM197903293001301,http://vocab.getty.edu/ontology#aat2325_created_by,authored by,https://www.wikidata.org/entity/Q5735148,Herbert L. Needleman,http://lod.nl.go.kr/ontology/publishedIn,published in ,https://www.wikidata.org/entity/Q582728,New England Journal of Medicine,,,,,,,,
50,,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,New England Journal of Medicine,New England Journal of Medicine,http://www.eurocris.org/ontologies/cerif/1.3#Publication,https://www.wikidata.org/entity/Q582728,,,,,,,,,,,,,,,,
51,19,Complete,https://www.wikidata.org/entity/Q77321330,Problem Space,Joel Schwartz,Joel Schwartz,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q16980703,http://purl.org/vocab/relationship/employedBy,employed by,https://www.wikidata.org/entity/Q460173,EPA,,,,,,,,,,,,
